,Country,State,City,StationName,Timestamp,PM25,AQI,MainPollutant,PM10,SO2,CO,NO2,Ozone
64,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-06-08,4.38,18,PM2.5,,,,,
65,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-06-11,19.61,67,PM2.5,,,,,
66,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-06-25,11.22,46,PM2.5,,,,,
67,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-07-03,13.78,55,PM2.5,,,,,
68,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-07-06,16.38,60,PM2.5,,,,,
69,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-07-23,17.48,62,PM2.5,,,,,
70,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-07-26,13.46,54,PM2.5,,,,,
71,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-08-15,6.71,28,PM2.5,,,,,
72,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-09-02,4.38,18,PM2.5,,,,,
73,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-09-26,9.57,40,PM2.5,,,,,
74,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-10-13,13.55,54,PM2.5,,,,,
75,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-10-22,1.09,5,PM2.5,,,,,
76,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-10-23,5.67,23,PM2.5,,,,,
77,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-12-06,5.54,23,PM2.5,,,,,
78,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-12-07,7.8,32,PM2.5,,,,,
79,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-12-15,6.38,26,PM2.5,,,,,
80,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-12-20,21.54,71,PM2.5,,,,,
81,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-12-23,10.0,41,PM2.5,,,,,
82,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-12-24,14.96,57,PM2.5,,,,,
83,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-01-13,7.04,29,PM2.5,,,,,
84,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-01-15,14.42,56,PM2.5,,,,,
85,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-01-24,5.25,22,PM2.5,,,,,
86,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-01-28,5.71,24,PM2.5,,,,,
87,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-02-03,6.96,29,PM2.5,,,,,
88,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-02-07,18.09,64,PM2.5,,,,,
89,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-02-21,10.88,45,PM2.5,14.72,,,,
90,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-03-05,2.04,8,PM2.5,2.84,,,,
91,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-03-19,6.04,25,PM2.5,8.53,,,,
92,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-03-25,22.5,73,PM2.5,31.48,,,,
93,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-04-17,4.46,18,PM2.5,6.42,,,,
94,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-04-24,3.38,14,PM2.5,4.89,,,,
95,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-05-10,18.88,65,PM2.5,26.2,,,,
96,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-06-20,5.13,21,PM2.5,7.32,,,,
97,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-06-25,9.79,40,PM2.5,12.71,,,,
98,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-06-29,19.83,67,PM2.5,30.44,,,,
99,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-07-05,21.0,70,PM2.5,31.0,,,,
100,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-07-11,11.54,48,PM2.5,16.55,,,,
101,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-08-19,15.29,58,PM2.5,22.33,,,,
102,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-09-26,30.96,90,PM2.5,,,,,
103,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-10-15,23.96,76,PM2.5,,,,,
104,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-11-03,14.17,55,PM2.5,,,,,
105,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-11-21,15.3,58,PM2.5,,,,,
106,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-11-30,15.04,57,PM2.5,,,,,
107,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-12-02,31.2,91,PM2.5,,,,,
108,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-12-18,18.75,65,PM2.5,,,,,
109,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-12-19,7.29,30,PM2.5,,,,,
110,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-01-08,13.25,53,PM2.5,,,,,
111,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-01-20,16.45,60,PM2.5,,,,,
112,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-03-17,9.83,41,PM2.5,,,,,
113,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-04-11,17.13,62,PM2.5,,,,,
114,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-04-12,17.45,62,PM2.5,,,,,
115,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-04-26,3.21,13,PM2.5,,,,,
116,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-05-31,6.83,28,PM2.5,,,,,
117,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-06-14,7.31,30,PM2.5,,,,,
118,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-06-26,6.83,28,PM2.5,,,,,
119,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-08-18,8.79,36,PM2.5,,,,,
120,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-09-04,10.5,43,PM2.5,,,,,
121,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-09-18,4.17,17,PM2.5,,,,,
122,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-09-23,2.13,9,PM2.5,,,,,
123,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-09-27,3.67,15,PM2.5,,,,,
124,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-09-28,3.08,13,PM2.5,,,,,
125,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-09-30,12.54,52,PM2.5,,,,,
126,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-10-17,5.63,23,PM2.5,,,,,
127,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-10-20,4.42,18,PM2.5,,,,,
128,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-11-18,9.29,38,PM2.5,,,,,
