Country,State,City,StationName,PM25,AQI,MainPollutant,PM10,SO2,CO,NO2,Ozone
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.04,25,PM2.5,8.53,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),22.5,73,PM2.5,31.48,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),4.46,18,PM2.5,6.42,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),3.38,14,PM2.5,4.89,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),18.88,65,PM2.5,26.2,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.13,21,PM2.5,7.32,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),9.79,40,PM2.5,12.71,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),19.83,67,PM2.5,30.44,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),21,70,PM2.5,31,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),11.54,48,PM2.5,16.55,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),15.29,58,PM2.5,22.33,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),30.96,90,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),23.96,76,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),14.17,55,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),15.3,58,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),15.04,57,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),31.2,91,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),18.75,65,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),7.29,30,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),13.25,53,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),16.45,60,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),9.83,41,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),17.13,62,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),17.45,62,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),3.21,13,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.83,28,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),7.31,30,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.83,28,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),8.79,36,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),10.5,43,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),4.17,17,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2.13,9,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),3.67,15,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),3.08,13,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),12.54,52,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.63,23,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),4.42,18,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),9.29,38,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,20.33,68,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,10.25,42,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.07,25,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.46,27,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.5,27,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.53,27,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),3.79,16,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),7.05,29,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),12.96,53,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),7.27,30,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2.17,9,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),20.91,69,PM2.5,29.81,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.72,28,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),17.8,63,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),4.42,18,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),52.09,142,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),3.46,14,PM2.5,4.17,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),20.54,69,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),15.21,58,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.71,24,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),26.73,82,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.65,27,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),21.96,72,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),9.41,39,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),4.79,20,PM2.5,7.1,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.65,23,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),18.67,65,PM2.5,25.8,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),12.42,52,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.71,24,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),18.88,65,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.21,22,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),3.74,15,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.96,29,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),8.33,34,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.36,26,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.94,25,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),23.56,75,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),6.96,29,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),8.93,37,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),3.55,15,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),15.75,59,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),9.22,38,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.26,22,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),8.65,36,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),11,45,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),4.67,19,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),20.05,68,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),22.77,73,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),5.41,22,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),13.24,53,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),11.05,46,PM2.5,,,,,
